index,session_id,total_pages,avg_scroll_depth,avg_mouse_movements,avg_time_on_page,user_id,first_timestamp,last_timestamp,session_duration_sec,requests_per_sec,bot_score,classification,actual_label,if_baseline_pred,if_baseline_bot,pages_per_min,scroll_per_sec,if_pred,if_anomaly_score,if_bot,svm_pred,svm_bot,final_bot
1008,S001009,6,63.16666666666666,57.16666666666666,53.16666666666666,A1009,2024-01-29 01:03:40.000000,2024-01-29 01:05:20.000000,100.0,0.06,0,Human,Bot,-1,1,3.6,0.6316666666666666,-1,-0.6613663338376494,1,-1,1,1
1009,S001010,14,62.57142857142857,42.785714285714285,52.57142857142857,A1010,2024-01-15 19:06:00.000000,2024-01-15 19:10:20.000000,260.0,0.0538461538461538,0,Human,Bot,-1,1,3.230769230769231,0.2406593406593406,-1,-0.5781773754192693,1,-1,1,1
1010,S001011,11,56.18181818181818,47.36363636363637,41.27272727272727,A1011,2024-01-21 01:06:26.000000,2024-01-21 01:09:46.000000,200.0,0.055,0,Human,Bot,-1,1,3.3,0.2809090909090909,-1,-0.58496898243916,1,1,0,1
1011,S001012,8,51.875,45.125,47.375,A1012,2024-01-19 23:03:04.000000,2024-01-19 23:05:24.000000,140.0,0.0571428571428571,0,Human,Bot,-1,1,3.4285714285714284,0.3705357142857143,-1,-0.6375950175322617,1,-1,1,1
1012,S001013,6,59.16666666666666,46.0,56.0,A1013,2024-01-01 22:02:49.000000,2024-01-01 22:04:29.000000,100.0,0.06,0,Human,Bot,-1,1,3.6,0.5916666666666666,-1,-0.6557948135499266,1,-1,1,1
1013,S001014,6,56.0,47.0,58.16666666666666,A1014,2024-01-26 17:02:48.000000,2024-01-26 17:04:28.000000,100.0,0.06,0,Human,Bot,-1,1,3.6,0.56,-1,-0.662628955968929,1,-1,1,1
1014,S001015,12,56.66666666666666,43.16666666666666,44.5,A1015,2024-01-09 20:07:55.000000,2024-01-09 20:11:35.000000,220.0,0.0545454545454545,0,Human,Bot,-1,1,3.272727272727273,0.2575757575757575,-1,-0.5929887255992952,1,1,0,1
1015,S001016,14,58.85714285714285,47.57142857142857,45.92857142857143,A1016,2024-01-11 11:07:52.000000,2024-01-11 11:12:12.000000,260.0,0.0538461538461538,0,Human,Bot,1,0,3.230769230769231,0.2263736263736263,-1,-0.5724828697473997,1,1,0,1
1016,S001017,14,59.785714285714285,42.42857142857143,57.85714285714285,A1017,2024-01-18 00:07:17.000000,2024-01-18 00:11:37.000000,260.0,0.0538461538461538,0,Human,Bot,-1,1,3.230769230769231,0.2299450549450549,-1,-0.5748565426774307,1,1,0,1
1017,S001018,10,67.9,47.4,45.6,A1018,2024-01-18 16:04:45.000000,2024-01-18 16:07:45.000000,180.0,0.0555555555555555,0,Human,Bot,-1,1,3.333333333333333,0.3772222222222222,-1,-0.6022446264840209,1,-1,1,1
1018,S001019,9,55.66666666666666,50.22222222222222,59.333333333333336,A1019,2024-01-11 18:04:26.000000,2024-01-11 18:07:06.000000,160.0,0.05625,0,Human,Bot,-1,1,3.375,0.3479166666666666,-1,-0.6039614101283568,1,1,0,1
