index,session_id,total_pages,avg_scroll_depth,avg_mouse_movements,avg_time_on_page,user_id,first_timestamp,last_timestamp,session_duration_sec,requests_per_sec,bot_score,classification,actual_label,if_baseline_pred,if_baseline_bot,pages_per_min,scroll_per_sec,if_pred,if_anomaly_score,if_bot,svm_pred,svm_bot,final_bot
0,S000001,4,56.25,79.5,110.75,U0001,2024-01-28 06:03:46.000000,2024-01-28 06:05:16.000000,90.0,0.0444444444444444,0,Human,Human,1,0,2.6666666666666665,0.625,-1,-0.5623299111960298,1,1,0,1
1,S000002,11,72.0,125.45454545454544,89.0909090909091,U0002,2024-01-30 22:11:21.000000,2024-01-30 22:16:21.000000,300.0,0.0366666666666666,0,Human,Human,1,0,2.2,0.24,1,-0.4088389604627258,0,1,0,0
2,S000003,13,74.46153846153847,115.23076923076924,89.92307692307692,U0003,2024-01-09 22:12:34.000000,2024-01-09 22:18:34.000000,360.0,0.0361111111111111,0,Human,Human,1,0,2.1666666666666665,0.20683760683760685,1,-0.415827646016275,0,1,0,0
3,S000004,14,75.28571428571429,129.42857142857142,94.78571428571428,U0004,2024-01-30 00:12:16.000000,2024-01-30 00:18:46.000000,390.0,0.0358974358974358,0,Human,Human,1,0,2.1538461538461537,0.19304029304029305,1,-0.44131918811557813,0,1,0,0
4,S000005,4,80.75,95.25,47.75,U0005,2024-01-10 14:02:13.000000,2024-01-10 14:03:43.000000,90.0,0.0444444444444444,0,Human,Human,1,0,2.6666666666666665,0.8972222222222223,1,-0.5480995722971882,0,1,0,0
5,S000006,12,67.0,110.83333333333331,64.58333333333333,U0006,2024-01-25 08:12:39.000000,2024-01-25 08:18:09.000000,330.0,0.0363636363636363,0,Human,Human,1,0,2.1818181818181817,0.20303030303030303,1,-0.39334485363960137,0,1,0,0
6,S000007,14,67.42857142857143,105.71428571428572,95.42857142857144,U0007,2024-01-30 17:11:27.000000,2024-01-30 17:17:57.000000,390.0,0.0358974358974358,0,Human,Human,1,0,2.1538461538461537,0.1728937728937729,1,-0.40532923048589936,0,1,0,0
7,S000008,7,74.14285714285714,88.85714285714286,84.85714285714286,U0008,2024-01-31 00:06:57.000000,2024-01-31 00:09:57.000000,180.0,0.0388888888888888,0,Human,Human,1,0,2.3333333333333335,0.4119047619047619,1,-0.450740463030682,0,1,0,0
8,S000009,11,72.0,89.81818181818181,82.27272727272727,U0009,2024-01-19 20:10:59.000000,2024-01-19 20:15:59.000000,300.0,0.0366666666666666,0,Human,Human,1,0,2.2,0.24,1,-0.41649848408418333,0,1,0,0
9,S000010,6,63.833333333333336,117.83333333333331,68.83333333333333,U0010,2024-01-29 03:04:36.000000,2024-01-29 03:07:06.000000,150.0,0.04,0,Human,Human,1,0,2.4,0.4255555555555556,1,-0.44757679547956036,0,1,0,0
10,S000011,3,74.0,99.0,126.33333333333331,U0011,2024-01-19 14:02:53.000000,2024-01-19 14:03:53.000000,60.0,0.05,0,Human,Human,1,0,3.0,1.2333333333333334,-1,-0.5521658371955691,1,1,0,1
11,S000012,5,69.0,109.8,138.2,U0012,2024-01-24 15:04:01.000000,2024-01-24 15:06:01.000000,120.0,0.0416666666666666,0,Human,Human,1,0,2.5,0.575,1,-0.45883300875098576,0,1,0,0
12,S000013,13,74.6923076923077,111.84615384615384,131.30769230769232,U0013,2024-01-22 23:13:52.000000,2024-01-22 23:19:52.000000,360.0,0.0361111111111111,0,Human,Human,1,0,2.1666666666666665,0.2074786324786325,1,-0.4116076592254251,0,1,0,0
13,S000014,10,77.0,114.5,103.8,U0014,2024-01-12 17:08:29.000000,2024-01-12 17:12:59.000000,270.0,0.037037037037037,0,Human,Human,1,0,2.2222222222222223,0.2851851851851852,1,-0.4225234337349058,0,1,0,0
14,S000015,15,70.06666666666666,92.13333333333334,99.53333333333332,U0015,2024-01-29 23:13:06.000000,2024-01-29 23:20:06.000000,420.0,0.0357142857142857,0,Human,Human,1,0,2.142857142857143,0.16682539682539682,1,-0.44929216578876086,0,1,0,0
15,S000016,6,72.33333333333333,118.16666666666669,121.5,U0016,2024-01-27 18:04:28.000000,2024-01-27 18:06:58.000000,150.0,0.04,0,Human,Human,1,0,2.4,0.48222222222222216,1,-0.4498141620578363,0,1,0,0
16,S000017,7,72.14285714285714,99.71428571428572,97.14285714285714,U0017,2024-01-26 06:06:52.000000,2024-01-26 06:09:52.000000,180.0,0.0388888888888888,0,Human,Human,1,0,2.3333333333333335,0.40079365079365076,1,-0.43235180082009256,0,1,0,0
17,S000018,15,68.13333333333334,89.46666666666667,96.53333333333332,U0018,2024-01-20 02:13:49.000000,2024-01-20 02:20:49.000000,420.0,0.0357142857142857,0,Human,Human,1,0,2.142857142857143,0.16222222222222224,1,-0.45997868745603426,0,1,0,0
18,S000019,13,70.53846153846153,104.84615384615384,82.0,U0019,2024-01-25 14:11:35.000000,2024-01-25 14:17:35.000000,360.0,0.0361111111111111,0,Human,Human,1,0,2.1666666666666665,0.19594017094017094,1,-0.4013985773387832,0,1,0,0
19,S000020,12,74.41666666666667,117.41666666666669,90.0,U0020,2024-01-14 02:13:12.000000,2024-01-14 02:18:42.000000,330.0,0.0363636363636363,0,Human,Human,1,0,2.1818181818181817,0.2255050505050505,1,-0.4011082899497593,0,1,0,0
20,S000021,7,65.28571428571429,104.71428571428572,96.14285714285714,U0021,2024-01-14 10:06:28.000000,2024-01-14 10:09:28.000000,180.0,0.0388888888888888,0,Human,Human,1,0,2.3333333333333335,0.36269841269841274,1,-0.4247605622830944,0,1,0,0
